"cat","val","species","common_name"
"Schmetterlinge:","Schmetterlingsweide (1 Arten)","Myosotis-sylvatica","Wald-Vergissmeinnicht"
"Nektarwert:","1 von 4","Myosotis-sylvatica","Wald-Vergissmeinnicht"
"Pollenwert:","1 von 4","Myosotis-sylvatica","Wald-Vergissmeinnicht"
"Aussaat:","jfmamjjasond","Myosotis-sylvatica","Wald-Vergissmeinnicht"
"Keimer:","Dunkelkeimer, Warmkeimer","Myosotis-sylvatica","Wald-Vergissmeinnicht"
"Ordnung:","Raublattartige","Myosotis-sylvatica","Wald-Vergissmeinnicht"
"Familie:","Raublattgewächse","Myosotis-sylvatica","Wald-Vergissmeinnicht"
"Gattung:","Vergißmeinnicht","Myosotis-sylvatica","Wald-Vergissmeinnicht"
"Licht:","Sonne bis Halbschatten","Nigella-damascena","Jungfer im Grünen"
"Boden:","lehmig","Nigella-damascena","Jungfer im Grünen"
"Wasser:","frisch bis trocken","Nigella-damascena","Jungfer im Grünen"
"Nährstoffe:","normaler Boden","Nigella-damascena","Jungfer im Grünen"
"Pflanzenart:","Einjährige","Nigella-damascena","Jungfer im Grünen"
"Wuchs:"," aufrecht, buschig","Nigella-damascena","Jungfer im Grünen"
"Höhe:","30 - 45 cm","Nigella-damascena","Jungfer im Grünen"
"Blütenfarbe:"," violett","Nigella-damascena","Jungfer im Grünen"
"Blühzeit:","jfmamjjasond","Nigella-damascena","Jungfer im Grünen"
"Blütenform:","traubenförmig","Nigella-damascena","Jungfer im Grünen"
"Ordnung:","Hahnenfußartige","Nigella-damascena","Jungfer im Grünen"
"Familie:","Hahnenfußgewächse","Nigella-damascena","Jungfer im Grünen"
"Gattung:","Schwarzkümmel","Nigella-damascena","Jungfer im Grünen"
"Licht:","Sonne","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Boden:","durchlässig bis humus","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Wasser:","frisch bis trocken","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Nährstoffe:","normaler Boden","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Pflanzenart:","Zweijährige","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Wuchs:"," aufrecht","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Höhe:","50 - 300 cm","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Breite:","60 - 70 cm","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Wurzelsystem:","Pfahlwurzler","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Frostverträglich:","bis -23 °C (bis Klimazone 6)","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Blütenfarbe:"," pink","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Blühzeit:","jfmamjjasond","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Blütenform:","nur Röhrenblüten, unscheinbar, ausgeprägte Hochblätter/Hüllblätte","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Bienen:","Bienenweide (9 Arten)","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Schmetterlinge:","Schmetterlingsweide (2 Arten)","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Raupenfutterpflanze:","1 Arten","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Säugetiere:","1 fressende Arten","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Anwendung im Beet:","Strukturpflanze","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Ordnung:","Asternartige","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Familie:","Korbblütler","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Gattung:","Eselsdisteln","Onopordum-acanthium","Gewöhnliche Eselsdistel"
"Licht:","Sonne bis Halbschatten","Papaver-somniferum","Schlafmohn"
"Boden:","durchlässig bis humus","Papaver-somniferum","Schlafmohn"
"Wasser:","trocken","Papaver-somniferum","Schlafmohn"
"Nährstoffe:","nährstoffreicher Boden","Papaver-somniferum","Schlafmohn"
"Pflanzenart:","Einjährige","Papaver-somniferum","Schlafmohn"
"Wuchs:"," aufrecht","Papaver-somniferum","Schlafmohn"
"Höhe:","30 - 150 cm","Papaver-somniferum","Schlafmohn"
"Breite:","20 - 40 cm","Papaver-somniferum","Schlafmohn"
"Wurzelsystem:","Pfahlwurzler","Papaver-somniferum","Schlafmohn"
"Blütenfarbe:"," violett","Papaver-somniferum","Schlafmohn"
"Blühzeit:","jfmamjjasond","Papaver-somniferum","Schlafmohn"
"Blütenform:","schalenförmig, Einzelblüte","Papaver-somniferum","Schlafmohn"
"Bienen:","Bienenweide (1 Arten)","Papaver-somniferum","Schlafmohn"
"Schmetterlinge:","Schmetterlingsweide (1 Arten)","Papaver-somniferum","Schlafmohn"
"Raupenfutterpflanze:","1 Arten","Papaver-somniferum","Schlafmohn"
"Säugetiere:","1 fressende Arten","Papaver-somniferum","Schlafmohn"
"Ordnung:","Hahnenfußartige","Papaver-somniferum","Schlafmohn"
"Familie:","Mohngewächse","Papaver-somniferum","Schlafmohn"
"Gattung:","Mohn","Papaver-somniferum","Schlafmohn"
"Licht:","Sonne bis Halbschatten","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Boden:","durchlässig","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Wasser:","feucht bis frisch","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Nährstoffe:","nährstoffreicher Boden","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Kübel/Balkon geeignet:","ja, Kübelgröße mittel","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Pflanzenart:","Einjährige","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Wuchs:","hängend","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Höhe:","40 - 60 cm","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Breite:","20 - 30 cm","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Wurzelsystem:","Flachwurzler","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Frostverträglich:","bis 4 °C (bis Klimazone 11)","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Blütenfarbe:"," rot","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Blühzeit:","jfmamjjasond","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Blütenform:","doldenförmig","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Ordnung:","Storchschnabelartige","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Familie:","Storchschnabelgewächse","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Gattung:","Pelargonien","Pelargonium-peltatum","Hänge-Geranie,Efeu-Pelargonien"
"Licht:","Sonne","Ricinus-communis","Rizinus,Wunderbaum, Rizinusbaum, Christuspalme"
"Boden:","durchlässig bis humus","Ricinus-communis","Rizinus,Wunderbaum, Rizinusbaum, Christuspalme"
"Wasser:","trocken","Ricinus-communis","Rizinus,Wunderbaum, Rizinusbaum, Christuspalme"
"Nährstoffe:","nährstoffreicher Boden","Ricinus-communis","Rizinus,Wunderbaum, Rizinusbaum, Christuspalme"
"Pflanzenart:","Gehölz","Ricinus-communis","Rizinus,Wunderbaum, Rizinusbaum, Christuspalme"
"Höhe:","4 - 12 m","Ricinus-communis","Rizinus,Wunderbaum, Rizinusbaum, Christuspalme"
"Breite:","60 - 200 cm","Ricinus-communis","Rizinus,Wunderbaum, Rizinusbaum, Christuspalme"
"Wurzelsystem:","Pfahlwurzler","Ricinus-communis","Rizinus,Wunderbaum, Rizinusbaum, Christuspalme"
"Blütenfarbe:"," gelb","Ricinus-communis","Rizinus,Wunderbaum, Rizinusbaum, Christuspalme"
"Blühzeit:","jfmamjjasond","Ricinus-communis","Rizinus,Wunderbaum, Rizinusbaum, Christuspalme"
"Blütenform:","rispenförmig","Ricinus-communis","Rizinus,Wunderbaum, Rizinusbaum, Christuspalme"
"Schmetterlinge:","Schmetterlingsweide (1 Arten)","Ricinus-communis","Rizinus,Wunderbaum, Rizinusbaum, Christuspalme"
"Ordnung:","Malpighienartige","Ricinus-communis","Rizinus,Wunderbaum, Rizinusbaum, Christuspalme"
"Familie:","Wolfsmilchgewächse","Ricinus-communis","Rizinus,Wunderbaum, Rizinusbaum, Christuspalme"
"Gattung:","Ricinus","Ricinus-communis","Rizinus,Wunderbaum, Rizinusbaum, Christuspalme"
"Licht:","Sonne","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Boden:","durchlässig bis humus","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Wasser:","frisch","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Nährstoffe:","nährstoffreicher Boden","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Kübel/Balkon geeignet:","ja","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Pflanzenart:","Einjährige","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Wuchs:","aufrecht, horstbildend","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Höhe:","40 - 90 cm","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Breite:","40 - 60 cm","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Wurzelsystem:","Flachwurzler","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Frostverträglich:","bis -17 °C (bis Klimazone 7)","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Blütenfarbe:"," gelb","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Blühzeit:","jfmamjjasond","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Blütenform:","strahlenförmig","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Bienen:","Bienenweide","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Ordnung:","Asternartige","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Familie:","Korbblütler","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Gattung:","Rudbeckien","Rudbeckia-hirta","Schwarzäugige Rudbeckie,Rauer Sonnenhut"
"Licht:","Sonne bis Halbschatten","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Boden:","durchlässig bis humus","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Wasser:","frisch bis trocken","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Nährstoffe:","normaler bis nährstoffreicher Boden","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Kübel/Balkon geeignet:","ja, Kübelgröße mittel","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Pflanzenart:","Einjährige","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Wuchs:"," aufrecht, buschig","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Höhe:","30 - 40 cm","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Breite:","30 - 50 cm","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Wurzelsystem:","Flachwurzler","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Frostverträglich:","bis 4 °C (bis Klimazone 11)","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Blütenfarbe:"," gelb","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Blühzeit:","jfmamjjasond","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Blütenform:","einfach, achselständig","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Fruchtreife:","jfmamjjasond","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Bienen:","Bienenweide","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Aussaat:","jfmamjjasond","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Gründünger:","Als Gründünger verwendbarGegen NematodenVor- und Untersaat","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Ordnung:","Asternartige","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Familie:","Korbblütler","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Gattung:","Tagetes","Tagetes-tenuifolia","Schmalblättrige Studentenblume,Gewürztagetes"
"Licht:","Sonne bis Halbschatten","Tropaeolum-majus","Große Kapuzinerkresse"
"Boden:","durchlässig bis humus","Tropaeolum-majus","Große Kapuzinerkresse"
"Wasser:","frisch","Tropaeolum-majus","Große Kapuzinerkresse"
"Nährstoffe:","nährstoffreicher Boden","Tropaeolum-majus","Große Kapuzinerkresse"
"Kübel/Balkon geeignet:","ja","Tropaeolum-majus","Große Kapuzinerkresse"
"Pflanzenart:","Einjährige","Tropaeolum-majus","Große Kapuzinerkresse"
"Wuchs:","kletternd","Tropaeolum-majus","Große Kapuzinerkresse"
"Höhe:","20 - 300 cm","Tropaeolum-majus","Große Kapuzinerkresse"
"Wurzelsystem:","Flachwurzler","Tropaeolum-majus","Große Kapuzinerkresse"
"Blütenfarbe:"," gelb","Tropaeolum-majus","Große Kapuzinerkresse"
"Blühzeit:","jfmamjjasond","Tropaeolum-majus","Große Kapuzinerkresse"
"Blütenform:","kronblättrig, radiärsymmetrisch","Tropaeolum-majus","Große Kapuzinerkresse"
"Schmetterlinge:","Schmetterlingsweide (2 Arten)","Tropaeolum-majus","Große Kapuzinerkresse"
"Raupenfutterpflanze:","2 Arten","Tropaeolum-majus","Große Kapuzinerkresse"
"Säugetiere:","2 fressende Arten","Tropaeolum-majus","Große Kapuzinerkresse"
"Aussaat:","jfmamjjasond","Tropaeolum-majus","Große Kapuzinerkresse"
"Keimer:","Dunkelkeimer, Warmkeimer","Tropaeolum-majus","Große Kapuzinerkresse"
"Ordnung:","Kreuzblütlerartige","Tropaeolum-majus","Große Kapuzinerkresse"
"Familie:","Kapuzinerkressengewächse","Tropaeolum-majus","Große Kapuzinerkresse"
"Gattung:","Kapuzinerkressen","Tropaeolum-majus","Große Kapuzinerkresse"
"Licht:","Sonne","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Boden:","normal bis lehmig","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Wasser:","feucht bis frisch","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Nährstoffe:","normaler Boden","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Pflanzenart:","Staude","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Wuchs:","versamend","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Wuchs Konkurrenz:","stark","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Höhe:","20 - 80 cm","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Wurzelsystem:","Flachwurzler","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Frostverträglich:","bis -34 °C (bis Klimazone 4)","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Blütenfarbe:"," lila","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Blühzeit:","jfmamjjasond","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Blütenform:","sternförmig, kronröhrig, klein","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Bienen:","Bienenweide (1 Arten)","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Pflanzen je ㎡:","7","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Ordnung:","Lippenblütlerartige","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Familie:","Eisenkrautgewächse","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Gattung:","Verbenen","Verbena-officinalis","Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut"
"Licht:","Sonne","Zinnia-elegans","Zinnie"
"Boden:","durchlässig bis humus","Zinnia-elegans","Zinnie"
"Wasser:","frisch","Zinnia-elegans","Zinnie"
"Nährstoffe:","nährstoffreicher Boden","Zinnia-elegans","Zinnie"
"PH-Wert:","basisch / kalk","Zinnia-elegans","Zinnie"
"Kübel/Balkon geeignet:","ja","Zinnia-elegans","Zinnie"
"Pflanzenart:","Einjährige","Zinnia-elegans","Zinnie"
"Wuchs:"," aufrecht","Zinnia-elegans","Zinnie"
"Höhe:","30 - 90 cm","Zinnia-elegans","Zinnie"
"Breite:","25 - 40 cm","Zinnia-elegans","Zinnie"
"schnittverträglich:","ja","Zinnia-elegans","Zinnie"
"Wurzelsystem:","Flachwurzler","Zinnia-elegans","Zinnie"
"Frostverträglich:","bis 4 °C (bis Klimazone 11)","Zinnia-elegans","Zinnie"
"Blütenfarbe:"," rot","Zinnia-elegans","Zinnie"
"Blühzeit:","jfmamjjasond","Zinnia-elegans","Zinnie"
"Bienen:","Bienenweide","Zinnia-elegans","Zinnie"
"Aussaat:","jfmamjjasond","Zinnia-elegans","Zinnie"
"Ordnung:","Asternartige","Zinnia-elegans","Zinnie"
"Familie:","Korbblütler","Zinnia-elegans","Zinnie"
"Gattung:","Zinnien","Zinnia-elegans","Zinnie"
"Licht:","Sonne","Allium-aflatunense","Purpur-Kugellauch"
"Boden:","durchlässig bis humus","Allium-aflatunense","Purpur-Kugellauch"
"Wasser:","frisch bis trocken","Allium-aflatunense","Purpur-Kugellauch"
"Nährstoffe:","normaler Boden","Allium-aflatunense","Purpur-Kugellauch"
"Kübel/Balkon geeignet:","ja","Allium-aflatunense","Purpur-Kugellauch"
"Pflanzenart:","Zwiebel","Allium-aflatunense","Purpur-Kugellauch"
"Wuchs:"," aufrecht","Allium-aflatunense","Purpur-Kugellauch"
"Höhe:","60 - 90 cm","Allium-aflatunense","Purpur-Kugellauch"
"Breite:","5 - 10 cm","Allium-aflatunense","Purpur-Kugellauch"
"Wurzelsystem:","Zwiebel","Allium-aflatunense","Purpur-Kugellauch"
"Frostverträglich:","bis -17 °C (bis Klimazone 7)","Allium-aflatunense","Purpur-Kugellauch"
"Blütenfarbe:"," lila","Allium-aflatunense","Purpur-Kugellauch"
"Blühzeit:","jfmamjjasond","Allium-aflatunense","Purpur-Kugellauch"
"Blütenform:","doldenförmig, einfach","Allium-aflatunense","Purpur-Kugellauch"
"Bienen:","Bienenweide","Allium-aflatunense","Purpur-Kugellauch"
"Pflanzen je ㎡:","8","Allium-aflatunense","Purpur-Kugellauch"
"Anwendung im Beet:","Strukturpflanze","Allium-aflatunense","Purpur-Kugellauch"
"Ordnung:","Spargelartige","Allium-aflatunense","Purpur-Kugellauch"
"Familie:","Amaryllisgewächse","Allium-aflatunense","Purpur-Kugellauch"
"Gattung:","Lauch","Allium-aflatunense","Purpur-Kugellauch"
"Licht:","Sonne bis Halbschatten","Allium-christophii","Sternkugel Lauch"
"Boden:","durchlässig bis normal","Allium-christophii","Sternkugel Lauch"
"Wasser:","frisch bis trocken","Allium-christophii","Sternkugel Lauch"
"Nährstoffe:","nährstoffarmer Boden","Allium-christophii","Sternkugel Lauch"
"Pflanzenart:","Zwiebel","Allium-christophii","Sternkugel Lauch"
"Wuchs:","bogig, geneigt, horstig","Allium-christophii","Sternkugel Lauch"
"Höhe:","40 - 60 cm","Allium-christophii","Sternkugel Lauch"
"Breite:","30 - 50 cm","Allium-christophii","Sternkugel Lauch"
"Wurzelsystem:","Zwiebel","Allium-christophii","Sternkugel Lauch"
"Frostverträglich:","bis -12 °C (bis Klimazone 8)","Allium-christophii","Sternkugel Lauch"
"Blütenfarbe:"," lila","Allium-christophii","Sternkugel Lauch"
"Blühzeit:","jfmamjjasond","Allium-christophii","Sternkugel Lauch"
"Blütenform:","kugelförmig, doldenförmig","Allium-christophii","Sternkugel Lauch"
"Bienen:","Bienenweide","Allium-christophii","Sternkugel Lauch"
"Ordnung:","Spargelartige","Allium-christophii","Sternkugel Lauch"
"Familie:","Amaryllisgewächse","Allium-christophii","Sternkugel Lauch"
"Gattung:","Lauch","Allium-christophii","Sternkugel Lauch"
"Licht:","Sonne bis Halbschatten","Allium-moly","Gold-Lauch"
"Wasser:","trocken","Allium-moly","Gold-Lauch"
"Nährstoffe:","normaler Boden","Allium-moly","Gold-Lauch"
"Kübel/Balkon geeignet:","ja","Allium-moly","Gold-Lauch"
"Pflanzenart:","Zwiebel","Allium-moly","Gold-Lauch"
"Höhe:","10 - 30 cm","Allium-moly","Gold-Lauch"
"Breite:","5 - 10 cm","Allium-moly","Gold-Lauch"
"Wurzelsystem:","Zwiebel","Allium-moly","Gold-Lauch"
"Frostverträglich:","bis -17 °C (bis Klimazone 7)","Allium-moly","Gold-Lauch"
"Blütenfarbe:"," gelb","Allium-moly","Gold-Lauch"
"Blühzeit:","jfmamjjasond","Allium-moly","Gold-Lauch"
"Blütenform:","doldenförmig","Allium-moly","Gold-Lauch"
"Ordnung:","Spargelartige","Allium-moly","Gold-Lauch"
"Familie:","Amaryllisgewächse","Allium-moly","Gold-Lauch"
"Gattung:","Lauch","Allium-moly","Gold-Lauch"
"Licht:","Sonne bis Halbschatten","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Boden:","durchlässig bis humus","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Wasser:","frisch bis trocken","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Nährstoffe:","nährstoffreicher Boden","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Pflanzenart:","Staude","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Wuchs:","lockerrasig, aufrechte Blütenstiele, horstig, bildet Kolonien","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Höhe:","5 - 15 cm","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Breite:","10 - 20 cm","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Wurzelsystem:","Flachwurzler","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Wurzelausläufer:","Ausläufer","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Frostverträglich:","bis -17 °C (bis Klimazone 7)","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Blütenfarbe:"," blau","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Blühzeit:","jfmamjjasond","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Blütenform:","strahlenförmig","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Bienen:","Bienenweide","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Pflanzen je ㎡:","11","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Ordnung:","Hahnenfußartige","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Familie:","Hahnenfußgewächse","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Gattung:","Windröschen","Anemone-blanda","Blaue Anemone,Balkan-Windröschen"
"Licht:","","Canna-indica","Indisches Blumenrohr"
"Wasser:","","Canna-indica","Indisches Blumenrohr"
"Pflanzenart:","Staude","Canna-indica","Indisches Blumenrohr"
"Licht:","Sonne bis Halbschatten","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Boden:","durchlässig bis humus","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Wasser:","frisch bis trocken","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Nährstoffe:","nährstoffreicher Boden","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Pflanzenart:","Zwiebel","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Wuchs:"," aufrecht, horstbildend","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Höhe:","5 - 10 cm","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Breite:","10 - 20 cm","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Wurzelsystem:","Zwiebel","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Frostverträglich:","bis -34 °C (bis Klimazone 4)","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Blütenfarbe:"," blau","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Blühzeit:","jfmamjjasond","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Blütenform:","sternförmig","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Bienen:","Bienenweide","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Pflanzen je ㎡:","400","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Ordnung:","Spargelartige","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Familie:","Spargelgewächse","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Gattung:","Sternhyazinthen","Chionodoxa-luciliae","Gewöhnliche Sternhyazinthe,Schneeglanz"
"Licht:","Sonne bis Halbschatten","Crocus-flavus","Gold-Krokus,Gelber Korkus"
"Boden:","durchlässig","Crocus-flavus","Gold-Krokus,Gelber Korkus"
"Wasser:","frisch bis trocken","Crocus-flavus","Gold-Krokus,Gelber Korkus"
"Nährstoffe:","nährstoffreicher Boden","Crocus-flavus","Gold-Krokus,Gelber Korkus"
"PH-Wert:","basisch / kalk","Crocus-flavus","Gold-Krokus,Gelber Korkus"
"Pflanzenart:","Zwiebel","Crocus-flavus","Gold-Krokus,Gelber Korkus"
"Wuchs:","aufrecht, horstig","Crocus-flavus","Gold-Krokus,Gelber Korkus"
"Höhe:","7 - 10 cm","Crocus-flavus","Gold-Krokus,Gelber Korkus"
"Wurzelsystem:","Zwiebel","Crocus-flavus","Gold-Krokus,Gelber Korkus"
"Frostverträglich:","bis -34 °C (bis Klimazone 4)","Crocus-flavus","Gold-Krokus,Gelber Korkus"
