"fed_state","species_cleaned","species_naturadb","rl_cat","naturadb_common_name","Bienen","Blütenfarbe","Boden","Dachbegrünung geeignet","Familie","Frostverträglich","Gattung","Höhe","Kübel/Balkon geeignet","Licht","Nährstoffe","PH-Wert","Säugetiere","Schmetterlinge","Vögel","Wasser"
"Brandenburg","Seseli libanotis","seseli-libanotis","1","Berg-Heilwurz","Bienenweide","weiß","durchlässig bis normal",NA,"Doldenblütler","bis -28 °C (bis Klimazone 5)","Seseli","60 - 150 cm",NA,"Sonne bis Halbschatten","nährstoffarmer Boden","basisch / kalk",NA,NA,NA,"frisch bis trocken"
"Brandenburg","Stachys germanica","stachys-germanica","1","Deutscher Ziest","Bienenweide (1 Arten)","rot","durchlässig bis lehmig",NA,"Lippenblütler","bis -28 °C (bis Klimazone 5)","Zieste","40 - 100 cm",NA,"Sonne","nährstoffreicher Boden",NA,NA,NA,NA,"feucht bis frisch"
"Brandenburg","Stipa pennata","stipa-pennata","1","Echtes Federgras,Flausch-Federgras",NA,"weiß","durchlässig bis normal","ja","Süßgräser","bis -17 °C (bis Klimazone 7)","Federgräser","60 - 80 cm","ja","Sonne","nährstoffarmer Boden","basisch / kalk","2 fressende Arten","Schmetterlingsweide (2 Arten)",NA,"trocken"
"Brandenburg","Stipa pulcherrima","stipa-pulcherrima","1","Pracht-Federgras",NA,NA,"durchlässig bis normal",NA,"Süßgräser","bis -23 °C (bis Klimazone 6)","Federgräser","80 - 100 cm",NA,"Sonne","nährstoffarmer Boden","basisch / kalk",NA,NA,NA,"trocken"
"Brandenburg","Tetragonolobus maritimus","tetragonolobus-maritimus","1","Spargelerbse,Spargelklee","Bienenweide (1 Arten)","gelb","humus",NA,"Hülsenfrüchtler",NA,"Hornklee","10 - 20 cm",NA,"Sonne","nährstoffreicher Boden",NA,NA,NA,NA,"feucht bis frisch"
"Brandenburg","Thalictrum lucidum","thalictrum-lucidum","1","Glanz-Wiesenraute",NA,"gelb","humus",NA,"Hahnenfußgewächse","bis -17 °C (bis Klimazone 7)","Wiesenrauten","60 - 120 cm",NA,"Sonne","nährstoffreicher Boden",NA,"2 fressende Arten","Schmetterlingsweide (2 Arten)",NA,"feucht bis frisch"
"Brandenburg","Trapa natans","trapa-natans","1","Wassernuss",NA,NA,"humus",NA,"Weiderichgewächse","bis -28 °C (bis Klimazone 5)","Wassernuss",NA,NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,NA,NA,"Wasserpflanze"
"Brandenburg","Trifolium rubens","trifolium-rubens","1","Purpur-Klee,Fuchsschwanz-Klee","Bienenweide","rosa","durchlässig",NA,"Hülsenfrüchtler","bis -23 °C (bis Klimazone 6)","Klee","30 - 60 cm",NA,"Sonne bis Halbschatten","normaler Boden",NA,NA,NA,NA,"frisch bis trocken"
"Brandenburg","Trollius europaeus","trollius-europaeus","1","Europäische Trollblume",NA,"gelb","durchlässig bis lehmig",NA,"Hahnenfußgewächse","bis -28 °C (bis Klimazone 5)","Trollblumen","30 - 40 cm",NA,"Sonne","nährstoffreicher Boden",NA,"1 fressende Arten","Schmetterlingsweide (1 Arten)",NA,"feucht bis frisch"
"Brandenburg","Verbascum phoeniceum","verbascum-phoeniceum","1","Violette Königskerze,Purpur-Königskerze, Phönizische Königskerze","Bienenweide","violett","durchlässig bis humus",NA,"Braunwurzgewächse","bis -23 °C (bis Klimazone 6)","Königskerzen","40 - 90 cm",NA,"Sonne","nährstoffreicher Boden",NA,NA,NA,NA,"trocken"
"Brandenburg","Vicia pisiformis","vicia-pisiformis","1","Erbsen-Wicke",NA,"gelb","durchlässig",NA,"Hülsenfrüchtler",NA,"Wicken","60 - 200 cm",NA,"Sonne bis Schatten","nährstoffarmer Boden",NA,NA,NA,NA,"trocken"
"Brandenburg","Andromeda polifolia","andromeda-polifolia","2","Polei-Gränke,Lavendelheide, Rosmarinheide",NA,"weiß","normal bis humus",NA,"Heidekrautgewächse",NA,"Andromeda","15 - 40 cm","ja","Sonne bis Halbschatten","normaler Boden",NA,NA,"Schmetterlingsweide (2 Arten)",NA,"frisch"
"Brandenburg","Anemone sylvestris","anemone-sylvestris","2","Großes Windröschen","Bienenweide","weiß",NA,NA,"Hahnenfußgewächse","bis -34 °C (bis Klimazone 4)","Windröschen","15 - 40 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,NA,NA,"frisch bis trocken"
"Brandenburg","Anthyllis vulneraria","anthyllis-vulneraria","2","Gewöhnlicher Wundklee","Bienenweide (4 Arten)","gelb","durchlässig","ja","Hülsenfrüchtler","bis -17 °C (bis Klimazone 7)","Wundklee","15 - 30 cm","ja, Kübelgröße mittel","Sonne","nährstoffarmer Boden",NA,"2 fressende Arten","Schmetterlingsweide (6 Arten)",NA,"frisch bis trocken"
"Brandenburg","Asperula cynanchica","asperula-cynanchica","2","Hügel-Meier",NA,"rosa","durchlässig",NA,"Rubiaceae","bis -23 °C (bis Klimazone 6)","Meier","10 - 30 cm",NA,"Sonne bis Halbschatten","nährstoffarmer Boden","basisch / kalk","3 fressende Arten","Schmetterlingsweide (3 Arten)",NA,"trocken"
"Brandenburg","Asplenium trichomanes","asplenium-trichomanes","2","Braunstieliger Streifenfarn",NA,NA,"durchlässig bis normal",NA,"Streifenfarngewächse","bis -45,5 °C (bis Klimazone 2)","Streifenfarne","10 - 20 cm","ja","Halbschatten bis Schatten","nährstoffarmer bis normaler Boden",NA,NA,NA,NA,"frisch"
"Brandenburg","Astragalus cicer","astragalus-cicer","2","Kicher-Tragant","Bienenweide","gelb","durchlässig bis humus",NA,"Hülsenfrüchtler","bis -34 °C (bis Klimazone 4)","Tragant","20 - 90 cm",NA,"Sonne","normaler Boden",NA,NA,"Schmetterlingsweide",NA,"frisch bis trocken"
"Brandenburg","Bistorta officinalis","bistorta-officinalis","2","Schlangen-Wiesenknöterich",NA,"weiß",NA,NA,"Knöterichgewächse","bis -34 °C (bis Klimazone 4)","Wiesenknöteriche","30 - 100 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,"14 fressende Arten","Schmetterlingsweide (20 Arten)",NA,"feucht bis frisch"
"Brandenburg","Blechnum spicant","blechnum-spicant","2","Rippenfarn,Waldrippenfarn",NA,"grün","durchlässig bis humus",NA,"Rippenfarngewächse","bis -28 °C (bis Klimazone 5)","Rippenfarne","30 - 50 cm",NA,"Halbschatten bis Schatten","normaler Boden","sauer","1 fressende Arten","Schmetterlingsweide (1 Arten)",NA,"feucht bis frisch"
"Brandenburg","Campanula bononiensis","campanula-bononiensis","2","Bologneser Glockenblume","Bienenweide (4 Arten)","lila","durchlässig bis normal",NA,"Glockenblumengewächse","bis -40 °C (bis Klimazone 3)","Glockenblumen","30 - 100 cm",NA,"Sonne","normaler Boden",NA,NA,"Schmetterlingsweide",NA,"trocken"
"Brandenburg","Campanula glomerata","campanula-glomerata","2","Knäuel-Glockenblume,Büschelglockenblume, Knäuekblütige Glockenblume","Bienenweide (10 Arten)","violett","durchlässig bis lehmig",NA,"Glockenblumengewächse","bis -45,5 °C (bis Klimazone 2)","Glockenblumen","20 - 60 cm","ja","Sonne bis Halbschatten","nährstoffarmer bis normaler Boden","basisch / kalk",NA,"Schmetterlingsweide",NA,"frisch bis trocken"
"Brandenburg","Campanula rapunculus","campanula-rapunculus","2","Rapunzel-Glockenblume","Bienenweide (6 Arten)","blau",NA,NA,"Glockenblumengewächse","bis -40 °C (bis Klimazone 3)","Glockenblumen","30 - 90 cm",NA,"Sonne","nährstoffarmer Boden",NA,NA,"Schmetterlingsweide",NA,"frisch bis trocken"
"Brandenburg","Carex diandra","carex-diandra","2","Draht-Segge",NA,"braun","durchlässig",NA,"Sauergrasgewächse",NA,"Seggen","20 - 60 cm",NA,"Sonne bis Halbschatten",NA,"sauer",NA,"Schmetterlingsweide (1 Arten)",NA,"feucht"
"Brandenburg","Carex montana","carex-montana","2","Berg-Segge",NA,"gelb","durchlässig","ja","Sauergrasgewächse","bis -28 °C (bis Klimazone 5)","Seggen","10 - 25 cm","ja","Sonne bis Halbschatten","normaler Boden",NA,"1 fressende Arten","Schmetterlingsweide (1 Arten)",NA,"frisch bis trocken"
"Brandenburg","Cephalanthera damasonium","cephalanthera-damasonium","2","Bleiches Waldvöglein",NA,"weiß","lehmig",NA,"Orchideen",NA,"Waldvöglein","8 - 60 cm",NA,"Sonne bis Schatten",NA,NA,NA,"Schmetterlingsweide (1 Arten)",NA,"frisch bis trocken"
"Brandenburg","Chenopodium bonus-henricus","chenopodium-bonus-henricus","2","Guter Heinrich",NA,"grün","durchlässig bis lehmig",NA,"Fuchsschwanzgewächse","bis -28 °C (bis Klimazone 5)","Blitum","20 - 60 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,"3 fressende Arten","Schmetterlingsweide (3 Arten)",NA,"frisch"
"Brandenburg","Cirsium acaule","cirsium-acaule","2","Stängellose Kratzdistel","Bienenweide","rosa","durchlässig bis lehmig",NA,"Korbblütler",NA,"Kratzdisteln","5 - 10 cm",NA,"Sonne","nährstoffarmer Boden",NA,NA,NA,NA,"trocken"
"Brandenburg","Colchicum autumnale","colchicum-autumnale","2","Herbstzeitlose","Bienenweide (1 Arten)","rosa","durchlässig bis humus",NA,"Zeitlosengewächse","bis -28 °C (bis Klimazone 5)","Zeitlose","10 - 30 cm","ja","Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide (2 Arten)",NA,"feucht bis frisch"
"Brandenburg","Crataegus laevigata","crataegus-laevigata","2","Zweigriffeliger Weißdorn","Bienenweide (15 Arten)","weiß",NA,NA,"Rosengewächse","bis -28 °C (bis Klimazone 5)","Weißdorne","3 - 5 m",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,"7 fressende Arten","Schmetterlingsweide (7 Arten)","Vogelnährgehölz (7 Arten)","feucht bis frisch"
"Brandenburg","Cystopteris fragilis","cystopteris-fragilis","2","Zerbrechlicher Blasenfarn,Gewöhnlicher Blasenfarn",NA,"braun",NA,NA,"Wimperfarngewächse",NA,"Blasenfarne","10 - 45 cm",NA,"Halbschatten bis Schatten",NA,NA,NA,NA,NA,"feucht bis frisch"
"Brandenburg","Dactylorhiza incarnata","dactylorhiza-incarnata","2","Steifblättrige Fingerwurz,Fleischfarbenes Knabenkraut",NA,"rosa","durchlässig bis lehmig",NA,"Orchideen",NA,"Knabenkräuter","20 - 60 cm",NA,"",NA,NA,NA,"Schmetterlingsweide (1 Arten)",NA,"feucht"
"Brandenburg","Dianthus armeria","dianthus-armeria","2","Raue Nelke,Büschel-Nelke","Bienenweide","rot","durchlässig bis normal",NA,"Nelkengewächse",NA,"Nelken","15 - 40 cm","ja, Kübelgröße mittel","Sonne","normaler Boden",NA,NA,"Schmetterlingsweide",NA,"frisch bis trocken"
"Brandenburg","Dianthus superbus","dianthus-superbus","2","Pracht-Nelke","Bienenweide","pink","durchlässig bis lehmig",NA,"Nelkengewächse","bis -34 °C (bis Klimazone 4)","Nelken","20 - 50 cm",NA,"Sonne bis Halbschatten","normaler Boden",NA,NA,"Schmetterlingsweide (2 Arten)",NA,"feucht bis trocken"
"Brandenburg","Digitalis grandiflora","digitalis-grandiflora","2","Großblütiger Fingerhut","Bienenweide (1 Arten)","gelb","durchlässig bis normal",NA,"Wegerichgewächse","bis -28 °C (bis Klimazone 5)","Fingerhüte","60 - 120 cm","ja, Kübelgröße mittel","Sonne bis Halbschatten","normaler bis nährstoffreicher Boden",NA,"1 fressende Arten","Schmetterlingsweide (1 Arten)",NA,"frisch bis trocken"
"Brandenburg","Dipsacus pilosus","dipsacus-pilosus","2","Behaarte Karde",NA,"weiß","lehmig",NA,"Geißblattgewächse",NA,"Karden","60 - 120 cm",NA,"Sonne bis Halbschatten",NA,NA,NA,"Schmetterlingsweide (1 Arten)",NA,"feucht"
"Brandenburg","Dryopteris cristata","dryopteris-cristata","2","Kammfarn",NA,NA,"humus",NA,"Wurmfarngewächse","bis -34 °C (bis Klimazone 4)","Wurmfarne","30 - 80 cm",NA,"Sonne bis Schatten",NA,NA,NA,NA,NA,"feucht"
"Brandenburg","Equisetum variegatum","equisetum-variegatum","2","Bunter Schachtelhalm",NA,"braun","durchlässig bis lehmig",NA,"Schachtelhalmgewächse","bis -45,5 °C (bis Klimazone 2)","Schachtelhalme","10 - 20 cm",NA,"Sonne bis Halbschatten",NA,NA,NA,NA,NA,"feucht"
"Brandenburg","Erica tetralix","erica-tetralix","2","Moor-Glockenheide","Bienenweide (3 Arten)","weiß","humus",NA,"Heidekrautgewächse",NA,"Heidekräuter","15 - 20 cm","ja","Sonne bis Halbschatten","nährstoffarmer Boden","sauer",NA,"Schmetterlingsweide (13 Arten)",NA,"feucht"
"Brandenburg","Filipendula vulgaris","filipendula-vulgaris","2","Kleines Mädesüß,Knollen-Rüsterstaude, Knolliger Geißbart",NA,"weiß","durchlässig bis normal",NA,"Rosengewächse","bis -40 °C (bis Klimazone 3)","Mädesüß","30 - 80 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,NA,NA,"feucht bis trocken"
"Brandenburg","Galeopsis speciosa","galeopsis-speciosa","2","Bunter Hohlzahn","Bienenweide (1 Arten)","violett","durchlässig bis lehmig",NA,"Lippenblütler",NA,"Hohlzahn","50 - 100 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide (1 Arten)",NA,"feucht bis frisch"
"Brandenburg","Genista germanica","genista-germanica","2","Deutscher Ginster",NA,"gelb","durchlässig bis normal",NA,"Hülsenfrüchtler",NA,"Ginster","30 - 60 cm",NA,"Sonne bis Halbschatten","normaler Boden",NA,NA,"Schmetterlingsweide (3 Arten)",NA,"frisch bis trocken"
"Brandenburg","Geranium dissectum","geranium-dissectum","2","Schlitzblättriger Storchschnabel","Bienenweide","violett","durchlässig bis lehmig",NA,"Storchschnabelgewächse",NA,"Storchschnäbel","10 - 40 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide (1 Arten)",NA,"frisch bis trocken"
"Brandenburg","Geranium sanguineum","geranium-sanguineum","2","Blut-Storchschnabel,Blutroter Storchschnabel","Bienenweide","pink","durchlässig","ja","Storchschnabelgewächse","bis -28 °C (bis Klimazone 5)","Storchschnäbel","15 - 50 cm","ja, Kübelgröße mittel","Sonne","normaler Boden",NA,"4 fressende Arten","Schmetterlingsweide (5 Arten)",NA,"frisch bis trocken"
"Brandenburg","Gratiola officinalis","gratiola-officinalis","2","Gottes-Gnadenkraut,Sumpfgnadenkraut","Bienenweide","weiß","lehmig",NA,"Wegerichgewächse","bis -17 °C (bis Klimazone 7)","Gnadenkräuter","30 - 40 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,NA,NA,"feucht"
"Brandenburg","Gypsophila fastigiata","gypsophila-fastigiata","2","Ebensträußiges Gipskraut",NA,"weiß","durchlässig",NA,"Nelkengewächse","bis -28 °C (bis Klimazone 5)","Gipskräuter","20 - 50 cm",NA,"Sonne bis Halbschatten","normaler Boden",NA,NA,"Schmetterlingsweide (1 Arten)",NA,"trocken"
"Brandenburg","Gypsophila muralis","gypsophila-muralis","2","Mauer-Gipskraut,Acker-Gipskraut",NA,"rosa","durchlässig bis normal",NA,"Nelkengewächse",NA,"Gipskräuter","15 - 20 cm","ja","Sonne","nährstoffreicher Boden",NA,NA,NA,NA,""
"Brandenburg","Hippuris vulgaris","hippuris-vulgaris","2","Gewöhnlicher Tannenwedel,Gemeiner Tannenwedel",NA,"rot","durchlässig bis lehmig",NA,"Wegerichgewächse","bis -23 °C (bis Klimazone 6)","Tannenwedel","20 - 30 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden","basisch / kalk",NA,NA,NA,"Wasserpflanze"
"Brandenburg","Hypericum montanum","hypericum-montanum","2","Berg-Johanniskraut",NA,"gelb","durchlässig bis normal",NA,"Johanniskrautgewächse",NA,"Johanniskräuter","30 - 80 cm",NA,"Halbschatten","nährstoffarmer Boden",NA,NA,NA,NA,"frisch bis trocken"
"Brandenburg","Hypochaeris glabra","hypochaeris-glabra","2","Kahles Ferkelkraut","Bienenweide","gelb","durchlässig bis humus",NA,"Korbblütler",NA,"Ferkelkräuter","15 - 30 cm",NA,"Sonne bis Halbschatten","normaler Boden",NA,"1 fressende Arten","Schmetterlingsweide (1 Arten)",NA,"frisch bis trocken"
"Brandenburg","Ilex aquifolium","ilex-aquifolium","2","Europäische Stechpalme","Bienenweide (12 Arten)","weiß","durchlässig bis normal",NA,"Stechpalmengewächse","bis -17 °C (bis Klimazone 7)","Stechpalmen","2,5 - 4,5 m",NA,"Sonne bis Schatten","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide (1 Arten)","Vogelnährgehölz","frisch"
"Brandenburg","Inula salicina","inula-salicina","2","Weidenblättriger Alant","Bienenweide (7 Arten)","gelb","humus",NA,"Korbblütler","bis -23 °C (bis Klimazone 6)","Alante","25 - 40 cm","ja","Sonne","normaler Boden","basisch / kalk",NA,"Schmetterlingsweide (3 Arten)",NA,"feucht bis trocken"
"Brandenburg","Juncus subnodulosus","juncus-subnodulosus","2","Stumpfblütige Binse",NA,"braun","durchlässig bis humus",NA,"Binsengewächse",NA,"Binsen","40 - 130 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden","basisch / kalk",NA,"Schmetterlingsweide (1 Arten)",NA,"feucht bis frisch"
"Brandenburg","Lathyrus niger","lathyrus-niger","2","Schwarze Platterbse",NA,"pink","durchlässig",NA,"Hülsenfrüchtler","bis -23 °C (bis Klimazone 6)","Platterbsen","30 - 90 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,"1 fressende Arten","Schmetterlingsweide (1 Arten)",NA,"frisch bis trocken"
"Brandenburg","Ledum palustre","ledum-palustre","2","Sumpf-Porst",NA,"weiß","durchlässig bis humus",NA,NA,NA,NA,"1 - 1,5 m",NA,"Sonne bis Halbschatten",NA,NA,NA,NA,NA,"feucht bis frisch"
"Brandenburg","Lilium martagon","lilium-martagon","2","Türkenbundlilie",NA,"violett","durchlässig bis humus",NA,"Liliengewächse","bis -34 °C (bis Klimazone 4)","Lilien","40 - 100 cm","ja","Sonne bis Halbschatten","nährstoffreicher Boden","basisch / kalk","1 fressende Arten","Schmetterlingsweide (5 Arten)",NA,"frisch bis trocken"
"Brandenburg","Lithospermum officinale","lithospermum-officinale","2","Echter Steinsame",NA,"weiß","lehmig",NA,"Raublattgewächse",NA,"Rindszungen","30 - 100 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden","basisch / kalk",NA,NA,NA,"frisch"
"Brandenburg","Lysimachia nemorum","lysimachia-nemorum","2","Hain-Gilbweiderich",NA,"gelb","durchlässig bis humus",NA,"Primelgewächse","bis -17 °C (bis Klimazone 7)","Gilbweiderich","5 - 20 cm",NA,"Halbschatten",NA,NA,NA,NA,NA,"feucht"
"Brandenburg","Lythrum hyssopifolia","lythrum-hyssopifolia","2","Ysopblättriger Weiderich",NA,"violett","lehmig",NA,"Weiderichgewächse",NA,"Blutweideriche","5 - 30 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,NA,NA,"feucht bis frisch"
"Brandenburg","Melampyrum arvense","melampyrum-arvense","2","Acker-Wachtelweizen",NA,"pink","normal",NA,"Sommerwurzgewächse",NA,"Wachtelweizen","20 - 60 cm",NA,"Sonne bis Halbschatten","nährstoffarmer Boden",NA,"1 fressende Arten","Schmetterlingsweide (2 Arten)",NA,"trocken"
"Brandenburg","Mentha pulegium","mentha-pulegium","2","Polei-Minze",NA,"rosa","durchlässig bis humus","ja","Lippenblütler","bis -23 °C (bis Klimazone 6)","Minzen","20 - 40 cm","ja","Sonne bis Schatten","nährstoffreicher Boden",NA,NA,NA,NA,"feucht bis frisch"
"Brandenburg","Nigella arvensis","nigella-arvensis","2","Acker-Schwarzkümmel",NA,"blau","lehmig",NA,"Hahnenfußgewächse",NA,"Schwarzkümmel","10 - 30 cm",NA,"Sonne","nährstoffreicher Boden","basisch / kalk",NA,NA,NA,"trocken"
"Brandenburg","Noccaea caerulescens","noccaea-caerulescens","2","Gebirgs-Täschelkraut,Gebirgs-Hellerkraut",NA,"violett","lehmig",NA,"Kreuzblütler",NA,"Täschelkräuter","5 - 25 cm",NA,"Sonne bis Halbschatten","nährstoffarmer bis nährstoffreicher Boden","sauer",NA,"Schmetterlingsweide (1 Arten)",NA,"frisch"
"Brandenburg","Nymphoides peltata","nymphoides-peltata","2","Europäische Seekanne,Teichenzian",NA,"gelb","humus",NA,"Fieberkleegewächse","bis -23 °C (bis Klimazone 6)","Seekannen","5 - 15 cm","ja","Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,NA,NA,"Wasserpflanze"
"Brandenburg","Osmunda regalis","osmunda-regalis","2","Königsfarn",NA,NA,"durchlässig bis humus",NA,"Königsfarngewächse","bis -45,5 °C (bis Klimazone 2)","Königsfarne","50 - 130 cm",NA,"Sonne bis Schatten","normaler Boden","sauer",NA,NA,NA,"feucht"
"Brandenburg","Oxytropis pilosa","oxytropis-pilosa","2","Steppen-Spitzkiel",NA,"gelb","durchlässig",NA,"Hülsenfrüchtler",NA,"Spitzkiele","20 - 40 cm",NA,"Sonne","nährstoffarmer bis normaler Boden","basisch / kalk",NA,"Schmetterlingsweide (1 Arten)",NA,"trocken"
"Brandenburg","Peucedanum cervaria","peucedanum-cervaria","2","Hirschwurz-Haarstrang","Bienenweide (4 Arten)","weiß","durchlässig bis lehmig",NA,"Doldenblütler","bis -23 °C (bis Klimazone 6)","Haarstrang","60 - 120 cm",NA,"Sonne bis Halbschatten","nährstoffarmer Boden","basisch / kalk","1 fressende Arten","Schmetterlingsweide (1 Arten)",NA,"frisch bis trocken"
"Brandenburg","Phyteuma spicatum","phyteuma-spicatum","2","Weiße Teufelskralle","Bienenweide","weiß","durchlässig bis humus",NA,"Glockenblumengewächse","bis -28 °C (bis Klimazone 5)","Teufelskrallen","20 - 60 cm",NA,"Sonne bis Halbschatten","normaler Boden",NA,NA,"Schmetterlingsweide (1 Arten)",NA,"frisch bis trocken"
"Brandenburg","Picea abies","picea-abies","2","Gewöhnliche Fichte,Rotfichte, Rottanne","Bienenweide (1 Arten)","rot","durchlässig bis humus",NA,"Kieferngewächse","bis -45,5 °C (bis Klimazone 2)","Fichten","30 - 50 m",NA,"Sonne bis Halbschatten","normaler Boden","sauer bis kalkhaltig","26 fressende Arten","Schmetterlingsweide (26 Arten)",NA,"frisch"
"Brandenburg","Platanthera bifolia","platanthera-bifolia","2","Weiße Waldhyazinthe",NA,"weiß","durchlässig bis humus",NA,"Orchideen",NA,"Waldhyazinthen","20 - 50 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide (1 Arten)",NA,"frisch"
"Brandenburg","Polygala comosa","polygala-comosa","2","Schopf-Kreuzblümchen",NA,"rosa","durchlässig bis humus",NA,"Kreuzblumengewächse",NA,"Kreuzblumen","5 - 30 cm",NA,"Sonne","normaler Boden",NA,NA,"Schmetterlingsweide (1 Arten)",NA,"frisch bis trocken"
"Brandenburg","Populus nigra","populus-nigra","2","Schwarz-Pappel,Saarbaum",NA,"gelb","durchlässig bis humus",NA,"Weidengewächse",NA,"Pappeln","20 - 25 m",NA,"Sonne bis Halbschatten","nährstoffreicher Boden","basisch / kalk",NA,"Schmetterlingsweide (39 Arten)",NA,"frisch bis trocken"
"Brandenburg","Potentilla alba","potentilla-alba","2","Weißes Fingerkraut","Bienenweide","weiß","normal",NA,"Rosengewächse","bis -28 °C (bis Klimazone 5)","Fingerkräuter","5 - 20 cm",NA,"Sonne bis Halbschatten","normaler Boden",NA,NA,NA,NA,"frisch bis trocken"
"Brandenburg","Prunella grandiflora","prunella-grandiflora","2","Großblütige Braunelle","Bienenweide","blau","durchlässig","ja","Lippenblütler","bis -28 °C (bis Klimazone 5)","Braunellen","10 - 60 cm","ja","Sonne bis Halbschatten","nährstoffarmer Boden",NA,NA,"Schmetterlingsweide (5 Arten)",NA,"frisch bis trocken"
"Brandenburg","Prunus avium","prunus-avium","2","Vogelkirsche,Süßkirsche","Bienenweide (15 Arten)","weiß","durchlässig bis humus",NA,"Rosengewächse","bis -28 °C (bis Klimazone 5)","Prunus","15 - 20 m",NA,"Sonne","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide (20 Arten)","Vogelnährgehölz (48 Arten)","frisch"
"Brandenburg","Pulicaria dysenterica","pulicaria-dysenterica","2","Großes Flohkraut","Bienenweide (5 Arten)","gelb","lehmig",NA,"Korbblütler",NA,"Flohkräuter","30 - 60 cm",NA,"Sonne","nährstoffreicher Boden",NA,NA,NA,NA,"feucht bis frisch"
"Brandenburg","Rosa dumalis","rosa-dumalis","2","Vogesen-Rose,Schuttrose, Blaugrüne Rose, Graugrüne Rose",NA,"rosa","normal",NA,"Rosengewächse",NA,"Rosen","1 - 3,5 m",NA,"Sonne bis Halbschatten","normaler Boden",NA,"27 fressende Arten",NA,NA,"frisch bis trocken"
"Brandenburg","Rosa tomentosa","rosa-tomentosa","2","Filz-Rose",NA,"rosa","durchlässig bis lehmig",NA,"Rosengewächse",NA,"Rosen","1 - 2 m",NA,"Sonne bis Halbschatten","normaler Boden",NA,"27 fressende Arten",NA,NA,"frisch bis trocken"
"Brandenburg","Rumex aquaticus","rumex-aquaticus","2","Wasser-Ampfer",NA,"rot","lehmig",NA,"Knöterichgewächse",NA,"Ampfer","80 - 200 cm",NA,"Sonne","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide (2 Arten)",NA,"feucht"
"Brandenburg","Sagina nodosa","sagina-nodosa","2","Knotiges Mastkraut","Bienenweide (1 Arten)","weiß","humus",NA,"Nelkengewächse",NA,"Mastkräuter","5 - 15 cm",NA,"Sonne bis Halbschatten","normaler Boden","basisch / kalk",NA,NA,NA,"feucht"
"Brandenburg","Salix rosmarinifolia","salix-rosmarinifolia","2","Rosmarin-Weide","Bienenweide","grün","humus",NA,"Weidengewächse",NA,"Weiden","80 - 200 cm","ja","Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide (1 Arten)",NA,"feucht bis trocken"
"Brandenburg","Sanguisorba officinalis","sanguisorba-officinalis","2","Großer Wiesenknopf,Echter Wiesenknopf","Bienenweide","rot","durchlässig bis lehmig",NA,"Rosengewächse","bis -34 °C (bis Klimazone 4)","Wiesenknopf","30 - 120 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden","sauer","6 fressende Arten","Schmetterlingsweide (7 Arten)",NA,"feucht bis frisch"
"Brandenburg","Scabiosa canescens","scabiosa-canescens","2","Duft-Skabiose","Bienenweide (3 Arten)","blau","durchlässig bis normal",NA,"Geißblattgewächse","bis -23 °C (bis Klimazone 6)","Skabiosen","20 - 50 cm",NA,"Sonne","nährstoffarmer Boden","basisch / kalk",NA,"Schmetterlingsweide",NA,"trocken"
"Brandenburg","Scabiosa columbaria","scabiosa-columbaria","2","Tauben-Skabiose","Bienenweide (7 Arten)","blau","durchlässig bis normal",NA,"Geißblattgewächse","bis -23 °C (bis Klimazone 6)","Skabiosen","20 - 60 cm","ja, Kübelgröße mittel","Sonne","nährstoffarmer Boden",NA,NA,"Schmetterlingsweide (34 Arten)",NA,"frisch bis trocken"
"Brandenburg","Scabiosa ochroleuca","scabiosa-ochroleuca","2","Gelbe Skabiose,Gelbblühendes Krätzkraut","Bienenweide (2 Arten)","gelb","durchlässig bis humus","ja","Geißblattgewächse","bis -23 °C (bis Klimazone 6)","Skabiosen","60 - 80 cm",NA,"Sonne","normaler Boden",NA,NA,"Schmetterlingsweide (1 Arten)",NA,"trocken"
