Bundesland,Wissenschaftlicher Name,Deutscher Name,Familie,Gefährdung,Licht,Wasser,Nährstoffe,PH-Wert,Boden,Frostverträglich,Maximale Höhe,Blütenfarbe,Bienen,Schmetterlinge,Vögel,Säugetiere,Dachbegrünung,Balkon,h_binned
Brandenburg,Potentilla alba,Weißes Fingerkraut,Rosengewächse,2,Sonne bis Halbschatten,frisch bis trocken,normaler Boden,NA,normal,bis -28 °C (bis Klimazone 5),20,weiß,Bienenweide,NA,NA,NA,NA,NA,0-40 cm
Brandenburg,Prunella grandiflora,Großblütige Braunelle,Lippenblütler,2,Sonne bis Halbschatten,frisch bis trocken,nährstoffarmer Boden,NA,durchlässig,bis -28 °C (bis Klimazone 5),60,blau,Bienenweide,Schmetterlingsweide (5 Arten),NA,NA,ja,ja,40-60 cm
Brandenburg,Prunus avium,"Vogelkirsche,Süßkirsche",Rosengewächse,2,Sonne,frisch,nährstoffreicher Boden,NA,durchlässig bis humus,bis -28 °C (bis Klimazone 5),2000,weiß,Bienenweide (15 Arten),Schmetterlingsweide (20 Arten),Vogelnährgehölz (48 Arten),NA,NA,NA,100+ cm
Brandenburg,Pulicaria dysenterica,Großes Flohkraut,Korbblütler,2,Sonne,feucht bis frisch,nährstoffreicher Boden,NA,lehmig,NA,60,gelb,Bienenweide (5 Arten),NA,NA,NA,NA,NA,40-60 cm
Brandenburg,Rosa dumalis,"Vogesen-Rose,Schuttrose, Blaugrüne Rose, Graugrüne Rose",Rosengewächse,2,Sonne bis Halbschatten,frisch bis trocken,normaler Boden,NA,normal,NA,350,rosa,NA,NA,NA,27 fressende Arten,NA,NA,100+ cm
Brandenburg,Rosa tomentosa,Filz-Rose,Rosengewächse,2,Sonne bis Halbschatten,frisch bis trocken,normaler Boden,NA,durchlässig bis lehmig,NA,200,rosa,NA,NA,NA,27 fressende Arten,NA,NA,100+ cm
Brandenburg,Rumex aquaticus,Wasser-Ampfer,Knöterichgewächse,2,Sonne,feucht,nährstoffreicher Boden,NA,lehmig,NA,200,rot,NA,Schmetterlingsweide (2 Arten),NA,NA,NA,NA,100+ cm
Brandenburg,Sagina nodosa,Knotiges Mastkraut,Nelkengewächse,2,Sonne bis Halbschatten,feucht,normaler Boden,basisch / kalk,humus,NA,15,weiß,Bienenweide (1 Arten),NA,NA,NA,NA,NA,0-40 cm
Brandenburg,Salix rosmarinifolia,Rosmarin-Weide,Weidengewächse,2,Sonne bis Halbschatten,feucht bis trocken,nährstoffreicher Boden,NA,humus,NA,200,grün,Bienenweide,Schmetterlingsweide (1 Arten),NA,NA,NA,ja,100+ cm
Brandenburg,Sanguisorba officinalis,"Großer Wiesenknopf,Echter Wiesenknopf",Rosengewächse,2,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,sauer,durchlässig bis lehmig,bis -34 °C (bis Klimazone 4),120,rot,Bienenweide,Schmetterlingsweide (7 Arten),NA,6 fressende Arten,NA,NA,100+ cm
Brandenburg,Scabiosa canescens,Duft-Skabiose,Geißblattgewächse,2,Sonne,trocken,nährstoffarmer Boden,basisch / kalk,durchlässig bis normal,bis -23 °C (bis Klimazone 6),50,blau,Bienenweide (3 Arten),Schmetterlingsweide,NA,NA,NA,NA,40-60 cm
Brandenburg,Scabiosa columbaria,Tauben-Skabiose,Geißblattgewächse,2,Sonne,frisch bis trocken,nährstoffarmer Boden,NA,durchlässig bis normal,bis -23 °C (bis Klimazone 6),60,blau,Bienenweide (7 Arten),Schmetterlingsweide (34 Arten),NA,NA,NA,"ja, Kübelgröße mittel",40-60 cm
Brandenburg,Scabiosa ochroleuca,"Gelbe Skabiose,Gelbblühendes Krätzkraut",Geißblattgewächse,2,Sonne,trocken,normaler Boden,NA,durchlässig bis humus,bis -23 °C (bis Klimazone 6),80,gelb,Bienenweide (2 Arten),Schmetterlingsweide (1 Arten),NA,NA,ja,NA,60-100 cm
Brandenburg,Scorzonera humilis,"Niedrige Schwarzwurzel,Gartenschwarzwurzel",Korbblütler,2,Sonne,feucht bis frisch,normaler Boden,NA,durchlässig bis humus,NA,40,gelb,Bienenweide (3 Arten),Schmetterlingsweide (1 Arten),NA,NA,NA,NA,0-40 cm
Brandenburg,Scorzonera purpurea,"Rote Schwarzwurzel,Violette Schwarzwurzel",Korbblütler,2,Sonne,feucht bis trocken,nährstoffreicher Boden,basisch / kalk,durchlässig,NA,50,pink,NA,NA,NA,NA,NA,NA,40-60 cm
Brandenburg,Senecio erucifolius,"Raukenblättriges Greiskraut,Raukenblättrige Greiskraut",Korbblütler,2,Sonne,trocken,nährstoffarmer Boden,NA,durchlässig bis lehmig,bis -34 °C (bis Klimazone 4),120,gelb,Bienenweide,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,100+ cm
Brandenburg,Senecio sarracenicus,"Fluss-Greiskraut,Fluss-Kreuzkraut",Korbblütler,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandenburg,Serratula tinctoria,Färber-Scharte,Korbblütler,2,Sonne bis Schatten,feucht bis frisch,normaler Boden,NA,lehmig,bis -23 °C (bis Klimazone 6),60,violett,Bienenweide,Schmetterlingsweide (4 Arten),NA,3 fressende Arten,NA,NA,40-60 cm
Brandenburg,Seseli annuum,Steppenfenchel,Doldenblütler,2,Sonne,trocken,normaler Boden,basisch / kalk,lehmig,NA,60,weiß,NA,NA,NA,NA,NA,NA,40-60 cm
Brandenburg,Sherardia arvensis,Ackerröte,Rötegewächse,2,Sonne,trocken,nährstoffreicher Boden,basisch / kalk,lehmig,NA,20,lila,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,0-40 cm
Brandenburg,Silaum silaus,"Wiesen-Silau,Silau, Gewöhnliche Wiesensilge",Doldenblütler,2,Sonne,feucht bis frisch,nährstoffreicher Boden,NA,durchlässig bis lehmig,NA,100,grün,NA,Schmetterlingsweide (3 Arten),NA,NA,NA,NA,60-100 cm
Brandenburg,Silene noctiflora,Acker-Lichtnelke,Nelkengewächse,2,Sonne,trocken,normaler Boden,NA,normal bis lehmig,NA,100,rosa,NA,NA,NA,NA,NA,NA,60-100 cm
Brandenburg,Silene viscaria,Gewöhnliche Pechnelke,Nelkengewächse,2,Sonne,trocken,nährstoffarmer Boden,NA,durchlässig bis normal,bis -34 °C (bis Klimazone 4),60,rosa,Bienenweide,NA,NA,NA,NA,ja,40-60 cm
Brandenburg,Sorbus torminalis,"Elsbeere,Atlasbeere, Elzeberere",Rosengewächse,2,Sonne,trocken,nährstoffreicher Boden,NA,normal bis humus,bis -23 °C (bis Klimazone 6),1500,weiß,NA,Schmetterlingsweide (4 Arten),Vogelnährgehölz,NA,NA,NA,100+ cm
Brandenburg,Stratiotes aloides,Krebsschere,Froschbissgewächse,2,Sonne bis Halbschatten,Wasserpflanze,nährstoffreicher Boden,NA,NA,bis -28 °C (bis Klimazone 5),40,weiß,NA,NA,NA,NA,NA,NA,0-40 cm
Brandenburg,Succisa pratensis,Teufelsabbiss,Geißblattgewächse,2,Sonne,feucht bis frisch,normaler Boden,NA,normal,bis -28 °C (bis Klimazone 5),50,lila,Bienenweide (5 Arten),Schmetterlingsweide (7 Arten),NA,3 fressende Arten,NA,ja,40-60 cm
Brandenburg,Tanacetum corymbosum,"Straußblütige Wucherblume,Straußblütige Margerite",Korbblütler,2,Sonne bis Halbschatten,frisch bis trocken,normaler bis nährstoffreicher Boden,basisch / kalk,durchlässig bis humus,bis -17 °C (bis Klimazone 7),100,weiß,Bienenweide (1 Arten),Schmetterlingsweide (1 Arten),NA,NA,NA,NA,60-100 cm
Brandenburg,Trifolium montanum,Berg-Klee,Hülsenfrüchtler,2,Sonne bis Halbschatten,trocken,nährstoffreicher Boden,basisch / kalk,lehmig,NA,40,weiß,Bienenweide (2 Arten),Schmetterlingsweide (6 Arten),NA,NA,NA,NA,0-40 cm
Brandenburg,Tulipa sylvestris,"Wilde Tulpe,Weinbergstulpe, Wald-Tulpe",Liliengewächse,2,Sonne bis Halbschatten,frisch bis trocken,normaler Boden,basisch / kalk,durchlässig bis lehmig,bis -28 °C (bis Klimazone 5),40,gelb,Bienenweide,NA,NA,NA,NA,ja,0-40 cm
Brandenburg,Vaccinium uliginosum,"Rauschbeere,Moor-Heidelbeere",Heidekrautgewächse,2,Sonne bis Halbschatten,feucht bis frisch,nährstoffarmer Boden,sauer,durchlässig bis lehmig,"bis -45,5 °C (bis Klimazone 2)",90,rosa,Bienenweide (2 Arten),Schmetterlingsweide (41 Arten),NA,12 fressende Arten,NA,ja,60-100 cm
Brandenburg,Verbena officinalis,"Echtes Eisenkraut,Taubenkraut, Katzenblutkraut, Sagenkraut, Verbene, Wunschkraut",Eisenkrautgewächse,2,Sonne,feucht bis frisch,normaler Boden,NA,normal bis lehmig,bis -34 °C (bis Klimazone 4),80,lila,Bienenweide (1 Arten),NA,NA,NA,NA,NA,60-100 cm
Brandenburg,Veronica teucrium,"Großer Ehrenpreis,Aufrechter Ehrenpreis",Wegerichgewächse,2,Sonne,frisch bis trocken,nährstoffarmer bis normaler Boden,basisch / kalk,durchlässig bis lehmig,bis -23 °C (bis Klimazone 6),100,blau,Bienenweide (5 Arten),Schmetterlingsweide (3 Arten),NA,NA,ja,"ja, Kübelgröße mittel",60-100 cm
Brandenburg,Vicia dumetorum,Hecken-Wicke,Hülsenfrüchtler,2,Sonne bis Halbschatten,frisch,nährstoffreicher Boden,NA,durchlässig bis lehmig,NA,150,pink,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,100+ cm
Brandenburg,Viola rupestris,Sand-Veilchen,Veilchengewächse,2,Sonne bis Halbschatten,trocken,nährstoffarmer bis normaler Boden,NA,durchlässig bis humus,bis -28 °C (bis Klimazone 5),8,blau,NA,Schmetterlingsweide (3 Arten),NA,NA,NA,NA,0-40 cm
Brandenburg,Adonis vernalis,Frühlings-Adonisröschen,Hahnenfußgewächse,3,Sonne,frisch bis trocken,nährstoffarmer Boden,NA,durchlässig bis normal,NA,20,gelb,Bienenweide (2 Arten),NA,NA,NA,NA,"ja, Kübelgröße klein",0-40 cm
Brandenburg,Alisma lanceolatum,Lanzettblättriger Froschlöffel,Froschlöffelgewächse,3,Sonne,feucht,nährstoffreicher Boden,NA,NA,bis -23 °C (bis Klimazone 6),90,rosa,NA,NA,NA,NA,NA,NA,60-100 cm
Brandenburg,Allium angulosum,Kanten-Lauch,Amaryllisgewächse,3,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,NA,durchlässig bis lehmig,bis -17 °C (bis Klimazone 7),50,rosa,Bienenweide (1 Arten),Schmetterlingsweide (1 Arten),NA,NA,NA,NA,40-60 cm
Brandenburg,Alyssum alyssoides,Kelch-Steinkraut,Kreuzblütlergewächse,3,Sonne,trocken,nährstoffarmer Boden,NA,durchlässig,NA,20,gelb,NA,NA,NA,NA,NA,NA,0-40 cm
Brandenburg,Anthericum liliago,"Traubige Graslilie,Astlose Graslilie",Spargelgewächse,3,Sonne bis Halbschatten,trocken,nährstoffarmer Boden,NA,durchlässig bis normal,bis -17 °C (bis Klimazone 7),60,weiß,Bienenweide,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,ja,40-60 cm
Brandenburg,Anthericum ramosum,"Ästige Graslilie,Rispige Graslilie",Spargelgewächse,3,Sonne,trocken,nährstoffarmer Boden,NA,durchlässig,bis -17 °C (bis Klimazone 7),60,weiß,Bienenweide (2 Arten),Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,ja,40-60 cm
Brandenburg,Anthyllis vulneraria,Gewöhnlicher Wundklee,Hülsenfrüchtler,3,Sonne,frisch bis trocken,nährstoffarmer Boden,NA,durchlässig,bis -17 °C (bis Klimazone 7),30,gelb,Bienenweide (4 Arten),Schmetterlingsweide (6 Arten),NA,2 fressende Arten,ja,"ja, Kübelgröße mittel",0-40 cm
Brandenburg,Arabis hirsuta,"Behaarte Gänsekresse,Rauhaarige Gänsekresse",Kreuzblütlergewächse,3,Sonne bis Halbschatten,trocken,normaler Boden,basisch / kalk,durchlässig bis normal,NA,80,weiß,NA,Schmetterlingsweide (4 Arten),NA,NA,NA,NA,60-100 cm
Brandenburg,Asperula tinctoria,Färber-Meier,Rubiaceae,3,Sonne bis Halbschatten,frisch bis trocken,normaler Boden,NA,durchlässig bis humus,bis -34 °C (bis Klimazone 4),70,weiß,Bienenweide,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,60-100 cm
Brandenburg,Asplenium ruta-muraria,"Mauer-Streifenfarn,Mauerraute",Streifenfarngewächse,3,Sonne bis Halbschatten,trocken,nährstoffarmer Boden,basisch / kalk,durchlässig bis normal,bis -23 °C (bis Klimazone 6),20,grün,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,ja,0-40 cm
Brandenburg,Aster linosyris,Goldhaar-Aster,Korbblütler,3,Sonne,frisch bis trocken,normaler Boden,NA,durchlässig bis normal,bis -34 °C (bis Klimazone 4),60,gelb,Bienenweide,Schmetterlingsweide,NA,NA,ja,"ja, Kübelgröße mittel",40-60 cm
Brandenburg,Briza media,Gewöhnliches Zittergras,Süßgräser,3,Sonne bis Halbschatten,frisch bis trocken,nährstoffarmer Boden,NA,durchlässig bis humus,bis -28 °C (bis Klimazone 5),40,grün,NA,Schmetterlingsweide (3 Arten),NA,3 fressende Arten,ja,ja,0-40 cm
Brandenburg,Calla palustris,"Sumpfkalla,Drachenwurz",Aronstabgewächse,3,Sonne bis Halbschatten,feucht,nährstoffreicher Boden,NA,lehmig,bis -34 °C (bis Klimazone 4),50,weiß,NA,NA,NA,NA,NA,ja,40-60 cm
Brandenburg,Caltha palustris,Sumpf-Dotterblume,Hahnenfußgewächse,3,Sonne bis Halbschatten,feucht,nährstoffreicher Boden,sauer,lehmig,bis -40 °C (bis Klimazone 3),40,gelb,Bienenweide,Schmetterlingsweide (4 Arten),NA,3 fressende Arten,NA,ja,0-40 cm
Brandenburg,Campanula sibirica,Steppen-Glockenblume,Glockenblumengewächse,3,Sonne,trocken,normaler Boden,NA,durchlässig,bis -28 °C (bis Klimazone 5),60,blau,Bienenweide (4 Arten),Schmetterlingsweide,NA,NA,NA,NA,40-60 cm
Brandenburg,Cardamine amara,Kressen-Schaumkraut,Kreuzblütler,3,Schatten,feucht,nährstoffreicher Boden,NA,lehmig,NA,60,weiß,NA,Schmetterlingsweide (3 Arten),NA,4 fressende Arten,NA,NA,40-60 cm
Brandenburg,Carex flacca,Blaugrüne Segge,Sauergrasgewächse,3,Sonne bis Halbschatten,frisch,normaler Boden,basisch / kalk,durchlässig bis humus,bis -28 °C (bis Klimazone 5),60,braun,NA,Schmetterlingsweide (5 Arten),NA,5 fressende Arten,ja,ja,40-60 cm
Brandenburg,Carex humilis,"Erd-Segge,Zwergsegge",Sauergrasgewächse,3,Sonne,trocken,nährstoffarmer Boden,NA,durchlässig bis normal,bis -34 °C (bis Klimazone 4),30,gelb,NA,NA,NA,NA,NA,ja,0-40 cm
Brandenburg,Centaurium erythraea,Echtes Tausendgüldenkraut,Enziangewächse,3,Sonne,frisch bis trocken,NA,NA,durchlässig bis humus,bis -12 °C (bis Klimazone 8),40,rosa,Bienenweide (1 Arten),NA,NA,NA,NA,NA,0-40 cm
Brandenburg,Chaerophyllum aromaticum,Gewürz-Kälberkropf,Doldenblütler,3,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,NA,lehmig,bis -23 °C (bis Klimazone 6),150,weiß,NA,NA,NA,NA,NA,NA,100+ cm
Brandenburg,Cladium mariscus,Binsen-Schneide,Sauergrasgewächse,3,Sonne,feucht,normaler Boden,sauer,lehmig,bis -40 °C (bis Klimazone 3),200,braun,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,100+ cm
Brandenburg,Clinopodium vulgare,Gemeiner Wirbeldost,Lippenblütler,3,Sonne,frisch,nährstoffarmer Boden,NA,durchlässig bis normal,NA,60,pink,Bienenweide (2 Arten),Schmetterlingsweide (3 Arten),NA,NA,NA,"ja, Kübelgröße mittel",40-60 cm
Brandenburg,Consolida regalis,"Gewöhnlicher Feldrittersporn,Ackerrittersporn",Hahnenfußgewächse,3,Sonne,frisch bis trocken,nährstoffreicher Boden,basisch / kalk,durchlässig bis lehmig,NA,40,blau,Bienenweide (2 Arten),Schmetterlingsweide (3 Arten),NA,3 fressende Arten,NA,NA,0-40 cm
Brandenburg,Corydalis intermedia,Mittlerer Lerchensporn,Mohngewächse,3,Sonne bis Halbschatten,feucht,nährstoffreicher Boden,NA,lehmig,NA,20,pink,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,0-40 cm
Brandenburg,Corydalis pumila,Zwerg-Lerchensporn,Mohngewächse,3,Sonne bis Halbschatten,frisch,nährstoffreicher Boden,NA,normal bis humus,bis -28 °C (bis Klimazone 5),20,violett,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,0-40 cm
Brandenburg,Crepis paludosa,Sumpf-Pippau,Korbblütler,3,Sonne bis Halbschatten,feucht,nährstoffreicher Boden,sauer,humus,NA,120,gelb,NA,Schmetterlingsweide (4 Arten),NA,NA,NA,NA,100+ cm
Brandenburg,Cruciata laevipes,Gewimpertes Kreuzlabkraut,Rötegewächse,3,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,NA,lehmig,NA,50,gelb,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,40-60 cm
Brandenburg,Cynosurus cristatus,Weide-Kammgras,Süßgräser,3,Sonne,frisch,nährstoffreicher Boden,sauer,lehmig,NA,60,grün,NA,Schmetterlingsweide (5 Arten),NA,5 fressende Arten,NA,NA,40-60 cm
Brandenburg,Dianthus carthusianorum,Karthäuser-Nelke,Nelkengewächse,3,Sonne,trocken,nährstoffarmer Boden,NA,durchlässig,bis -40 °C (bis Klimazone 3),40,pink,Bienenweide (3 Arten),Schmetterlingsweide (16 Arten),NA,3 fressende Arten,NA,ja,0-40 cm
Brandenburg,Dianthus deltoides,Heide-Nelke,Nelkengewächse,3,Sonne,trocken,nährstoffarmer Boden,sauer,durchlässig bis lehmig,bis -40 °C (bis Klimazone 3),30,pink,Bienenweide,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,ja,ja,0-40 cm
Brandenburg,Eleocharis acicularis,Nadel-Sumpfbinse,Sauergrasgewächse,3,Sonne bis Halbschatten,feucht,nährstoffarmer Boden,NA,humus,bis -28 °C (bis Klimazone 5),10,braun,NA,NA,NA,NA,NA,ja,0-40 cm
Brandenburg,Eriophorum angustifolium,Schmalblättriges Wollgras,Sauergrasgewächse,3,Sonne bis Halbschatten,feucht,normaler Boden,NA,durchlässig bis humus,bis -34 °C (bis Klimazone 4),60,weiß,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,40-60 cm
Brandenburg,Eriophorum vaginatum,Scheidiges Wollgras,Sauergrasgewächse,3,Sonne,feucht,nährstoffarmer Boden,sauer,durchlässig bis humus,bis -34 °C (bis Klimazone 4),60,weiß,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,40-60 cm
Brandenburg,Eryngium campestre,Feld-Mannstreu,Doldenblütler,3,Sonne,frisch,nährstoffarmer Boden,basisch / kalk,durchlässig bis normal,bis -28 °C (bis Klimazone 5),60,weiß,Bienenweide (10 Arten),Schmetterlingsweide (3 Arten),NA,NA,NA,NA,40-60 cm
Brandenburg,Euphorbia palustris,Sumpf-Wolfsmilch,Wolfsmilchgewächse,3,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,NA,lehmig,bis -28 °C (bis Klimazone 5),100,gelb,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,ja,60-100 cm
Brandenburg,Euphrasia stricta,Steifer Augentrost,Sommerwurzgewächse,3,Sonne,frisch bis trocken,nährstoffarmer Boden,NA,durchlässig,NA,30,lila,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,0-40 cm
Brandenburg,Fragaria viridis,"Knack-Erdbeere,Hügel-Erdbeere",Rosengewächse,3,Sonne bis Halbschatten,frisch,nährstoffreicher Boden,basisch / kalk,durchlässig bis humus,NA,15,weiß,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,0-40 cm
Brandenburg,Gagea villosa,"Acker-Gelbstern,Acker-Goldstern",Liliengewächse,3,Sonne,frisch bis trocken,nährstoffreicher Boden,basisch / kalk,durchlässig bis humus,NA,15,gelb,Bienenweide (1 Arten),NA,NA,NA,NA,NA,0-40 cm
Brandenburg,Galium boreale,Nordisches Labkraut,Rötegewächse,3,Sonne bis Halbschatten,feucht bis frisch,normaler Boden,basisch / kalk,durchlässig bis lehmig,"bis -45,5 °C (bis Klimazone 2)",50,weiß,NA,NA,NA,NA,NA,NA,40-60 cm
Brandenburg,Galium sylvaticum,Wald-Labkraut,Rötegewächse,3,Sonne bis Halbschatten,frisch,nährstoffreicher Boden,NA,durchlässig bis humus,bis -28 °C (bis Klimazone 5),100,weiß,NA,Schmetterlingsweide (12 Arten),NA,12 fressende Arten,NA,NA,60-100 cm
Brandenburg,Genista tinctoria,Färber-Ginster,Hülsenfrüchtler,3,Sonne bis Halbschatten,feucht bis frisch,normaler Boden,sauer,durchlässig bis humus,bis -28 °C (bis Klimazone 5),100,gelb,Bienenweide (3 Arten),Schmetterlingsweide (20 Arten),NA,NA,NA,ja,60-100 cm
Brandenburg,Geranium palustre,Sumpf-Storchschnabel,Storchschnabelgewächse,3,Halbschatten bis Schatten,feucht,nährstoffreicher Boden,basisch / kalk,durchlässig bis lehmig,bis -23 °C (bis Klimazone 6),60,rosa,Bienenweide,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,40-60 cm
Brandenburg,Geranium pratense,Wiesen-Storchschnabel,Storchschnabelgewächse,3,Sonne,frisch bis trocken,nährstoffreicher Boden,NA,durchlässig bis humus,bis -34 °C (bis Klimazone 4),70,blau,Bienenweide (1 Arten),Schmetterlingsweide (7 Arten),NA,7 fressende Arten,NA,NA,60-100 cm
Brandenburg,Gymnocarpium dryopteris,Eichenfarn,Wimpernfarngewächse,3,Sonne bis Schatten,frisch,nährstoffreicher Boden,sauer,durchlässig bis humus,NA,40,NA,NA,NA,NA,NA,NA,NA,0-40 cm
Brandenburg,Helictotrichon pubescens,Flaumiger Wiesenhafer,Süßgräser,3,Sonne,trocken,nährstoffreicher Boden,basisch / kalk,NA,NA,130,grün,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,100+ cm
Brandenburg,Hieracium piloselloides,Florentiner Habichtskraut,Korbblütler,3,Sonne,frisch bis trocken,nährstoffarmer Boden,NA,normal,NA,40,gelb,Bienenweide (1 Arten),Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,0-40 cm
Brandenburg,Hottonia palustris,"Wasserfeder,Wasserprimel",Primelgewächse,3,Sonne bis Schatten,Wasserpflanze,nährstoffreicher Boden,sauer,normal bis lehmig,bis -23 °C (bis Klimazone 6),50,rosa,NA,NA,NA,NA,NA,ja,40-60 cm
Brandenburg,Hydrocharis morsus-ranae,Europäischer Froschbiss,Froschbissgewächse,3,Sonne bis Halbschatten,Wasserpflanze,nährstoffreicher Boden,NA,lehmig,bis -34 °C (bis Klimazone 4),10,weiß,NA,NA,NA,NA,NA,"ja, Kübelgröße mittel",0-40 cm
Brandenburg,Inula britannica,Wiesen-Alant,Korbblütler,3,Sonne bis Halbschatten,feucht bis frisch,normaler Boden,NA,durchlässig bis normal,bis -17 °C (bis Klimazone 7),60,gelb,Bienenweide (3 Arten),NA,NA,NA,NA,NA,40-60 cm
Brandenburg,Inula conyzae,Dürrwurz-Alant,Korbblütler,3,Sonne bis Halbschatten,frisch,normaler Boden,NA,normal bis humus,NA,100,braun,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,60-100 cm
Brandenburg,Juniperus communis,"Gewöhnlicher Wacholder,Gemeiner Wacholder",Zypressengewächse,3,Sonne bis Halbschatten,trocken,nährstoffarmer Boden,NA,normal,bis -40 °C (bis Klimazone 3),500,grün,NA,Schmetterlingsweide (10 Arten),Vogelnährgehölz (10 Arten),10 fressende Arten,NA,ja,100+ cm
Brandenburg,Koeleria glauca,"Blaugraue Kammschmiele,Schillergras",Süßgräser,3,Sonne,trocken,nährstoffarmer Boden,NA,normal,bis -34 °C (bis Klimazone 4),30,grün,NA,NA,NA,NA,ja,ja,0-40 cm
Brandenburg,Lathyrus palustris,Sumpf-Platterbse,Hülsenfrüchtler,3,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,NA,lehmig,NA,120,violett,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,100+ cm
Brandenburg,Leonurus cardiaca,"Echtes Herzgespann,Löwenschweif",Lippenblütler,3,Sonne bis Halbschatten,frisch bis trocken,normaler bis nährstoffreicher Boden,NA,durchlässig bis humus,bis -40 °C (bis Klimazone 3),120,rosa,Bienenweide,NA,NA,NA,ja,ja,100+ cm
Brandenburg,Listera ovata,Großes Zweiblatt,Orchideen,3,Sonne bis Halbschatten,frisch,nährstoffreicher Boden,NA,lehmig,NA,50,gelb,NA,Schmetterlingsweide (2 Arten),NA,NA,NA,NA,40-60 cm
Brandenburg,Malva moschata,Moschusmalve,Malvengewächse,3,Sonne bis Halbschatten,frisch bis trocken,nährstoffreicher Boden,NA,humus,bis -40 °C (bis Klimazone 3),80,rosa,Bienenweide (1 Arten),Schmetterlingsweide (2 Arten),NA,1 fressende Arten,NA,ja,60-100 cm
Brandenburg,Medicago falcata,Sichelklee,Hülsenfrüchtler,3,Sonne bis Halbschatten,frisch bis trocken,normaler Boden,basisch / kalk,durchlässig bis lehmig,NA,40,gelb,Bienenweide (4 Arten),Schmetterlingsweide (8 Arten),NA,6 fressende Arten,NA,"ja, Kübelgröße mittel",0-40 cm
Brandenburg,Melampyrum nemorosum,Hain-Wachtelweizen,Sommerwurzgewächse,3,Sonne bis Halbschatten,frisch,nährstoffarmer Boden,sauer,durchlässig bis humus,NA,30,gelb,NA,Schmetterlingsweide (3 Arten),NA,NA,NA,NA,0-40 cm
Brandenburg,Menyanthes trifoliata,"Fieberklee,Bitterklee",Fieberkleegewächse,3,Sonne bis Halbschatten,feucht,nährstoffarmer Boden,sauer,humus,bis -40 °C (bis Klimazone 3),30,weiß,NA,Schmetterlingsweide (3 Arten),NA,3 fressende Arten,NA,NA,0-40 cm
Brandenburg,Onobrychis viciifolia,"Saat-Esparsette,Wilde Esparsette",Hülsenfrüchtler,3,Sonne,frisch bis trocken,nährstoffarmer Boden,basisch / kalk,durchlässig bis lehmig,NA,60,rosa,Bienenweide (25 Arten),Schmetterlingsweide (25 Arten),NA,19 fressende Arten,ja,ja,40-60 cm
Brandenburg,Ononis spinosa,Dornige Hauhechel,Hülsenfrüchtler,3,Sonne,trocken,normaler Boden,basisch / kalk,humus,bis -23 °C (bis Klimazone 6),50,rosa,Bienenweide (15 Arten),Schmetterlingsweide (14 Arten),NA,12 fressende Arten,NA,ja,40-60 cm
Brandenburg,Origanum vulgare,"Oregano,Echter Dost, Wilder Majoran",Lippenblütler,3,Sonne,trocken,nährstoffreicher Boden,NA,durchlässig bis normal,bis -28 °C (bis Klimazone 5),50,rosa,Bienenweide (4 Arten),Schmetterlingsweide (67 Arten),NA,12 fressende Arten,ja,"ja, Kübelgröße mittel",40-60 cm
Brandenburg,Paris quadrifolia,Vierblättrige Einbeere,Germergewächse,3,Halbschatten bis Schatten,feucht bis frisch,nährstoffreicher Boden,NA,durchlässig bis humus,bis -23 °C (bis Klimazone 6),30,grün,NA,NA,NA,NA,NA,NA,0-40 cm
